Austria;FAB Central Europe (FAB-CE)
Belgium-Luxembourg;FABEC
Bulgaria;Danube FAB
Croatia;FAB Central Europe (FAB-CE)
Cyprus;FAB Blue MED
Czech Republic;FAB Central Europe (FAB-CE)
Denmark;Danish - Swedish FAB
Estonia;North European FAB (NEFAB)
Finland;North European FAB (NEFAB)
France;FAB Europe Central (FABEC)
Germany;FAB Europe Central (FABEC)
Greece;FAB Blue MED
Hungary;FAB Central Europe (FAB-CE)
Ireland;FAB UK-Ireland
Italy;FAB Blue MED
Latvia;North European FAB (NEFAB)
Lithuania;Baltic FAB
Malta;FAB Blue MED
Netherlands;FAB Europe Central (FABEC)
Norway;North European FAB (NEFAB)
Poland;Baltic FAB
Portugal Continental;South West FAB
Romania;Danube FAB
Slovakia;FAB Central Europe (FAB-CE)
Slovenia;FAB Central Europe (FAB-CE)
Spain Canarias;South West FAB
Spain Continental;South West FAB
Sweden;Danish - Swedish FAB
Switzerland;FAB Europe Central (FABEC)
